"ticker","volatility_ratio","sharpe_ratio","treynor_ratio","jensen_alpha","beta_index","created_at","updated_at"
"HGRU11","12.1233","0.6697","-0.0796","8.130","0.008","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HGRE11","21.2602","0.3194","-0.0388","6.795","0.021","2024-05-22 00:00:00","2025-09-21 00:00:00"
"HGPO11","14.9642","0.5369","-0.0610","7.974","0.011","2024-05-22 00:00:00","2025-09-21 00:00:00"
"HGLG11","12.1068","0.4617","-0.1678","5.590","0.006","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HGIC11","52.9038","0.1664","0.3586","8.819","-0.002","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HGFF11","18.5019","0.0267","-0.2976","0.501","0.005","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HGCR11","13.1320","0.8354","-0.0783","10.972","0.005","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HGBS11","14.3870","-5.7893","0.4067","-83.428","-0.024","2024-05-22 00:00:00","2025-09-21 00:00:00"
"HGBL11","18.0078","0.8539","0.2654","15.370","0.000","2024-05-29 00:00:00","2025-11-07 00:00:00"
"HFOF11","13.2948","-5.6321","1.6036","-74.891","-0.006","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HDOF11","0.3016","-4.8427","0.9138","-1.492","-0.002","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HDEL11","139.0190","2.5238","11.9962","350.856","0.003","2024-06-10 00:00:00","2025-11-07 00:00:00"
"HCTR11","27.3769","-0.0252","-0.2714","-0.688","0.006","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HCST11","77.7437","-0.1365","-1.2564","-10.613","0.002","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HCRI11","36.1404","0.2539","-0.1112","9.165","0.005","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HCHG11","33.3737","0.2107","-0.0949","7.035","0.008","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HBCR11","33.2106","0.2820","0.2183","9.365","-0.003","2024-05-22 00:00:00","2025-10-19 00:00:00"
"HABT11","17.0909","0.6560","-0.0354","11.214","0.010","2024-05-22 00:00:00","2025-11-07 00:00:00"
"HAAA11","77.7001","-0.1202","-0.2034","-9.369","0.012","2024-05-22 00:00:00","2025-09-28 00:00:00"
"GZIT11","29.3960","0.1100","1.3409","3.239","-0.001","2024-06-10 00:00:00","2025-11-07 00:00:00"
"GTWR11","12.7487","0.4243","-0.3870","5.410","0.002","2024-05-22 00:00:00","2025-09-21 00:00:00"
"GTLG11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"GSFI11","17.1277","0.1448","-1.0846","2.494","0.001","2024-05-22 00:00:00","2025-09-21 00:00:00"
"GRUL11","22.1752","0.4155","-2.0034","9.240","0.000","2025-04-01 00:00:00","2025-11-07 00:00:00"
"GLPF11","0.0000","0.0000","-0.3978","9.157","0.001","2025-07-02 00:00:00","2025-11-07 00:00:00"
"GLOG11","30.9082","0.0818","-0.2041","2.530","0.006","2024-05-22 00:00:00","2025-11-07 00:00:00"
"GLCR11","0.0000","0.0000","4.1135","4.780","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"GGRC11","12.6681","0.6433","-0.6738","8.154","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"GFDL11","0.0000","0.0000","2.1552","-11.750","-0.001","2025-07-02 00:00:00","2025-11-07 00:00:00"
"GCRI11","19.7336","0.6996","-0.0325","13.778","0.003","2024-05-22 00:00:00","2025-11-07 00:00:00"
"GCOI11","0.0000","0.0000",NULL,NULL,"0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"GCDL11","0.0000","0.0000","-1.2066","20.415","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"GARE11","13.5522","0.1584","-4.1908","2.147","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"GAME11","14.9928","0.5683","-0.9616","8.522","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"FYTO11","11.8720","-0.0126","-3.5610","-0.150","0.000","2025-06-12 00:00:00","2025-10-19 00:00:00"
"FVPQ11","30.3953","-0.2232","-0.2213","-6.779","0.010","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FTCE11","0.0000","0.0000",NULL,NULL,"0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"FPNG11","13.3579","3.6108","-0.0522","48.225","-0.064","2024-05-22 00:00:00","2025-11-07 00:00:00"
"FPAB11","60.8741","0.0980","-0.0150","5.989","0.059","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FMOF11","81.6569","0.0437","-0.2020","3.566","0.006","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FLRP11","29.0802","-3.2030","0.0303","-93.189","-0.356","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FLMA11","22.1295","0.1898","-0.0993","4.203","0.011","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FLCR11","9.6587","1.2501","-0.0657","12.092","0.004","2024-05-22 00:00:00","2025-11-07 00:00:00"
"FIVN11","90.3568","-0.0108","-5.8072","-0.979","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"FISC11","71.1298","0.0508","0.1754","3.612","-0.006","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FIIP11","27.9320","0.3542","0.0832","9.426","-0.007","2025-07-02 00:00:00","2025-11-07 00:00:00"
"FIIB11","13.9478","0.5080","-0.0386","7.089","0.020","2024-05-22 00:00:00","2025-11-07 00:00:00"
"FIGS11","19.2221","0.2643","-0.2545","5.075","0.004","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FCFL11","18.5321","0.4303","-0.1008","7.968","0.007","2024-05-22 00:00:00","2025-10-19 00:00:00"
"FATN11","11.3594","1.1051","-0.0323","12.558","0.007","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FAMB11","46.0826","-0.0710","0.0077","-3.300","-0.236","2024-06-10 00:00:00","2025-11-07 00:00:00"
"FAED11","20.5572","0.3942","-0.1833","8.130","0.004","2024-05-22 00:00:00","2025-09-21 00:00:00"
"EXES11","16.8396","0.9948","0.5292","16.748","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"EURO11","31.8629","0.1606","-0.0158","5.122","0.062","2024-05-22 00:00:00","2025-11-07 00:00:00"
"ERPA11","22.0611","0.1018","0.1660","2.246","-0.008","2024-05-22 00:00:00","2025-10-19 00:00:00"
"EQIR11","14.3476","0.2429","-1.8778","3.482","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"EMET11","76.3947","0.2203","1.5960","16.923","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"ELDO11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"EIRA11","0.0000","0.0000","0.4317","1.955","-0.003","2025-07-02 00:00:00","2025-11-07 00:00:00"
"EGYR11","59.2844","0.6470","-12.9527","38.588","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"EGDB11","0.0764","375.8257","0.0212","28.729","0.065","2025-07-02 00:00:00","2025-11-07 00:00:00"
"EDGE11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"EDGA11","31.2729","0.0402","0.5974","1.258","-0.002","2024-05-22 00:00:00","2025-10-19 00:00:00"
"EDFO11","56.7064","0.0640","-0.5565","3.588","0.002","2024-06-10 00:00:00","2025-11-07 00:00:00"
"EAGL11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"DVLT11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"DVLP11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"DVFF11","33.9882","0.1901","-3.1246","6.456","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"DPRO11","55.8334","0.0111","3.9223","0.623","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"DOVL11","0.0000","0.0000","0.0000","0.000","0.000","2024-06-10 00:00:00","2025-11-07 00:00:00"
"DEVA11","23.8397","0.2694","-0.1163","6.422","0.007","2024-05-22 00:00:00","2025-11-07 00:00:00"
"DAYM11","44.1542","-1.3484","-40.1787","-59.749","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"DAMT11","275.7719","0.0328","0.1679","9.047","-0.003","2025-07-02 00:00:00","2025-11-07 00:00:00"
"DAMA11","45.3365","-0.0033","1.6473","-0.150","-0.001","2024-05-29 00:00:00","2025-11-07 00:00:00"
"CYLD11","50.0519","-0.0045","0.0895","-0.229","-0.017","2025-07-02 00:00:00","2025-11-07 00:00:00"
"CYCR11","16.2811","0.7802","5.2231","12.685","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CXTL11","57.7784","0.0563","-0.0172","3.260","0.067","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CXRI11","39.2624","0.3636","-0.1967","13.943","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CXCO11","26.4971","0.2668","-0.0699","7.069","0.011","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CXCI11","18.0190","0.5609","-0.1427","10.142","0.003","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CXCE11","21.1388","0.3084","-1.0101","6.518","0.001","2024-06-10 00:00:00","2025-11-07 00:00:00"
"CXAG11","15.9860","0.3425","-0.1672","5.479","0.006","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CVBI11","0.0000","0.0000","0.0000","0.000","0.000","2025-10-14 00:00:00","2025-11-07 00:00:00"
"CTXT11","67.6318","-0.2390","4.7394","-16.077","-0.001","2024-05-22 00:00:00","2025-09-21 00:00:00"
"CSMC11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CRFF11","41.1512","0.6047","0.1411","25.107","0.007","2024-05-22 00:00:00","2025-11-07 00:00:00"
"CPUR11","18.2881","0.7854","-20.4256","14.413","0.000","2025-06-12 00:00:00","2025-11-07 00:00:00"
