"ticker","users_ranking_count","users_rank_movement_count","sirios_ranking_count","sirios_rank_movement_count","ifix_ranking_count","ifix_rank_movement_count","ifil_ranking_count","ifil_rank_movement_count","created_at","updated_at"
"FIIP11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"FIIB11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"FIGS11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FCFL11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-19 00:00:00"
"FATN11","0","0","0","0","76","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"FAMB11","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-10-28 00:00:00"
"EDFO11","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-10-28 00:00:00"
"FAED11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"EXES11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"EURO11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"ERPA11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-19 00:00:00"
"EQIR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"EMET11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"ELDO11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"EIRA11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"EGYR11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"EGDB11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"EDGE11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"EDGA11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-19 00:00:00"
