"ticker","ref_month","dividends_sum","price_ref","dy_monthly"
"ALZR11","2024-02-01","0.80","115.89","0.00690309776512209854"
"ALZR11","2024-03-01","0.80","117.96","0.00678195998643608003"
"ALZR11","2024-04-01","0.77","116.73","0.00659641908678146149"
"ALZR11","2024-05-01","0.73","109.99","0.00663696699699972725"
"ALZR11","2024-06-01","0.73","108.44","0.00673183327185540391"
"ALZR11","2024-07-01","0.71","107.78","0.00658749304138059009"
"ALZR11","2024-08-01","0.76","107.71","0.00705598365982731408"
"ALZR11","2024-09-01","0.75","104.89","0.00715034798360186862"
"ALZR11","2024-10-01","0.73","101.50","0.00719211822660098522"
"ALZR11","2024-11-01","0.78","99.67","0.00782582522323668105"
"ALZR11","2024-12-01","0.81","100.75","0.00803970223325062035"
"ALZR11","2025-01-01","0.81","99.48","0.00814234016887816647"
"ALZR11","2025-02-01","0.81","97.70","0.00829068577277379734"
"ALZR11","2025-03-01","0.81","101.20","0.00800395256916996047"
"ALZR11","2025-04-01","0.82","97.97","0.00836990915586404001"
"ALZR11","2025-05-01","0.08","10.04","0.00796812749003984064"
"ALZR11","2025-06-01","0.08","10.11","0.00791295746785361029"
"ALZR11","2025-07-01","0.09","10.02","0.00898203592814371257"
"ALZR11","2025-08-01","0.08","10.14","0.00788954635108481262"
"ALZR11","2025-09-01","0.08","10.60","0.00754716981132075472"
"ALZR11","2025-10-01","0.08","10.50","0.00761904761904761905"
"ALZR11","2025-11-01","0.08","10.63","0.00752587017873941675"
"ANCR11","2024-08-01","1.76","99.00","0.01777777777777777778"
"ANCR11","2024-11-01","1.57","105.00","0.01495238095238095238"
"ANCR11","2025-02-01","2.02",NULL,NULL
"APTO11","2022-01-01","0.03","10.53","0.00284900284900284900"
"APTO11","2022-02-01","0.09","10.19","0.00883218842001962709"
"APTO11","2022-03-01","0.10","10.20","0.00980392156862745098"
"APTO11","2022-04-01","0.11","10.40","0.01057692307692307692"
"APTO11","2022-05-01","0.12","10.10","0.01188118811881188119"
"APTO11","2022-06-01","0.12","9.96","0.01204819277108433735"
"APTO11","2022-07-01","0.13","9.70","0.01340206185567010309"
"APTO11","2022-08-01","0.12","9.37","0.01280683030949839915"
"APTO11","2022-09-01","0.11","9.15","0.01202185792349726776"
"APTO11","2022-10-01","0.10","9.17","0.01090512540894220284"
"APTO11","2022-11-01","0.09","8.92","0.01008968609865470852"
"APTO11","2022-12-01","0.10","8.81","0.01135073779795686720"
"APTO11","2023-01-01","0.10","8.69","0.01150747986191024166"
"APTO11","2023-02-01","0.10","8.14","0.01228501228501228501"
"APTO11","2023-03-01","0.10","8.58","0.01165501165501165501"
"APTO11","2023-04-01","0.10","8.50","0.01176470588235294118"
"APTO11","2023-05-01","0.11","10.00","0.01100000000000000000"
"APTO11","2023-06-01","0.11","9.97","0.01103309929789368104"
"APTO11","2023-07-01","0.11","9.95","0.01105527638190954774"
"APTO11","2023-08-01","0.10","9.90","0.01010101010101010101"
"APTO11","2023-09-01","0.10","9.93","0.01007049345417925478"
"APTO11","2023-10-01","0.10","9.80","0.01020408163265306122"
"APTO11","2023-11-01","0.09","9.72","0.00925925925925925926"
"APTO11","2023-12-01","0.09","9.78","0.00920245398773006135"
"APTO11","2024-01-01","0.09","9.80","0.00918367346938775510"
"APTO11","2024-02-01","0.09","9.54","0.00943396226415094340"
"APTO11","2024-03-01","0.09","9.70","0.00927835051546391753"
"APTO11","2024-04-01","0.09","9.59","0.00938477580813347237"
"APTO11","2024-05-01","0.09","10.65","0.00845070422535211268"
"APTO11","2024-06-01","0.09","9.54","0.00943396226415094340"
"APTO11","2024-07-01","0.09","9.50","0.00947368421052631579"
"APTO11","2024-08-01","0.09","9.59","0.00938477580813347237"
"APTO11","2024-09-01","0.09","9.59","0.00938477580813347237"
"APTO11","2024-10-01","0.09","9.12","0.00986842105263157895"
"APTO11","2024-11-01","0.09","9.01","0.00998890122086570477"
"APTO11","2024-12-01","0.09","8.80","0.01022727272727272727"
"APTO11","2025-01-01","0.09","8.64","0.01041666666666666667"
"APTO11","2025-02-01","0.09","8.59","0.01047729918509895227"
"APTO11","2025-03-01","0.09","8.51","0.01057579318448883666"
"APTO11","2025-04-01","0.09","8.56","0.01051401869158878505"
"APTO11","2025-05-01","0.09","8.56","0.01051401869158878505"
"APTO11","2025-06-01","0.09","8.42","0.01068883610451306413"
"APTO11","2025-07-01","0.10","8.39","0.01191895113230035757"
"APTO11","2025-08-01","0.09","8.48","0.01061320754716981132"
"APTO11","2025-09-01","0.09","8.48","0.01061320754716981132"
"APTO11","2025-10-01","0.09","8.42","0.01068883610451306413"
"APTO11","2025-11-01","0.09","8.40","0.01071428571428571429"
"APXM11","2023-09-01","0.46","100.01","0.00459954004599540046"
"APXM11","2023-10-01","0.37","103.00","0.00359223300970873786"
"APXM11","2023-11-01","0.54","102.00","0.00529411764705882353"
"APXM11","2023-12-01","0.60","102.99","0.00582580833090591320"
"APXM11","2024-01-01","0.58","98.99","0.00585917769471663804"
"APXM11","2024-02-01","0.55","97.00","0.00567010309278350515"
"APXM11","2024-03-01","0.92","99.99","0.00920092009200920092"
"APXM11","2024-04-01","0.74","99.99","0.00740074007400740074"
"APXM11","2024-05-01","0.60","110.00","0.00545454545454545455"
"APXM11","2024-06-01","0.57","99.99","0.00570057005700570057"
"APXM11","2024-07-01","0.46","99.00","0.00464646464646464646"
"APXM11","2024-08-01","0.54","92.10","0.00586319218241042345"
"APXM11","2024-09-01","0.49","96.99","0.00505206722342509537"
"APXM11","2024-10-01","0.47","99.97","0.00470141042312693808"
"APXM11","2024-11-01","0.36","102.00","0.00352941176470588235"
"APXM11","2024-12-01","0.32","105.00","0.00304761904761904762"
"APXM11","2025-01-01","0.28","102.00","0.00274509803921568627"
"APXM11","2025-02-01","0.28","102.00","0.00274509803921568627"
"APXM11","2025-03-01","0.55","102.00","0.00539215686274509804"
"APXM11","2025-04-01","0.44","102.00","0.00431372549019607843"
"APXM11","2025-05-01","0.31","101.60","0.00305118110236220472"
"APXM11","2025-06-01","0.34","101.00","0.00336633663366336634"
"APXM11","2025-07-01","0.29","86.08","0.00336895910780669145"
"APXM11","2025-08-01","0.25","81.00","0.00308641975308641975"
"APXM11","2025-09-01","0.30","82.01","0.00365809047677112547"
"APXM11","2025-10-01","0.29","76.47","0.00379233686412972407"
"APXM11","2025-11-01","0.37","73.97","0.00500202784912802487"
"AROA11","2023-06-01","0.00",NULL,NULL
"AROA11","2023-07-01","0.00",NULL,NULL
"AROA11","2023-08-01","0.00",NULL,NULL
"AROA11","2023-09-01","0.00",NULL,NULL
"AROA11","2023-10-01","0.01",NULL,NULL
"AROA11","2023-11-01","0.01",NULL,NULL
"AROA11","2023-12-01","0.01","1.41","0.00709219858156028369"
"AROA11","2024-01-01","0.01","1.11","0.00900900900900900901"
"AROA11","2024-02-01","0.01","1.14","0.00877192982456140351"
"AROA11","2024-03-01","0.01","1.04","0.00961538461538461538"
"AROA11","2024-04-01","0.01","0.99","0.01010101010101010101"
"AROA11","2024-05-01","0.01","0.98","0.01020408163265306122"
"AROA11","2024-06-01","0.01","0.99","0.01010101010101010101"
"AROA11","2024-07-01","0.01","0.99","0.01010101010101010101"
"AROA11","2024-08-01","0.01","0.99","0.01010101010101010101"
"AROA11","2024-09-01","0.01","0.97","0.01030927835051546392"
"AROA11","2024-10-01","0.01","1.13","0.00884955752212389381"
"AROA11","2024-11-01","0.01","1.05","0.00952380952380952381"
"AROA11","2024-12-01","0.01","1.00","0.01000000000000000000"
"AROA11","2025-01-01","0.01","0.99","0.01010101010101010101"
"AROA11","2025-02-01","0.01","1.02","0.00980392156862745098"
"AROA11","2025-03-01","0.01","0.99","0.01010101010101010101"
"AROA11","2025-04-01","0.01","0.98","0.01020408163265306122"
"AROA11","2025-05-01","0.01","1.03","0.00970873786407766990"
"AROA11","2025-06-01","0.01","1.00","0.01000000000000000000"
"AROA11","2025-07-01","0.01","1.04","0.00961538461538461538"
"AROA11","2025-08-01","0.01","1.02","0.00980392156862745098"
"AROA11","2025-09-01","0.01","1.01","0.00990099009900990099"
"AROA11","2025-10-01","0.01","1.02","0.00980392156862745098"
"AROA11","2025-11-01","0.01","1.00","0.01000000000000000000"
"ARRI11","2021-10-01","1.11","96.45","0.01150855365474339036"
"ARRI11","2021-11-01","1.41","94.22","0.01496497558904691148"
"ARRI11","2021-12-01","1.47","97.98","0.01500306184935701164"
"ARRI11","2022-01-01","1.75","101.89","0.01717538521935420552"
"ARRI11","2022-02-01","1.31","100.48","0.01303742038216560510"
"ARRI11","2022-03-01","1.30","99.00","0.01313131313131313131"
"ARRI11","2022-04-01","1.34","98.80","0.01356275303643724696"
"ARRI11","2022-05-01","1.28","96.20","0.01330561330561330561"
"ARRI11","2022-06-01","1.41","97.00","0.01453608247422680412"
"ARRI11","2022-07-01","1.18","91.90","0.01284004352557127312"
"ARRI11","2022-08-01","1.31","9.39","0.13951011714589989350"
"ARRI11","2022-09-01","0.11","9.00","0.01222222222222222222"
"ARRI11","2022-10-01","0.14","9.40","0.01489361702127659574"
"ARRI11","2022-11-01","0.11","9.15","0.01202185792349726776"
"ARRI11","2022-12-01","0.13","9.29","0.01399354144241119483"
"ARRI11","2023-01-01","0.13","9.42","0.01380042462845010616"
"ARRI11","2023-02-01","0.13","9.30","0.01397849462365591398"
"ARRI11","2023-03-01","0.07","8.85","0.00790960451977401130"
"ARRI11","2023-04-01","0.11","8.28","0.01328502415458937198"
"ARRI11","2023-05-01","0.11","8.75","0.01257142857142857143"
"ARRI11","2023-06-01","0.11","8.93","0.01231802911534154535"
"ARRI11","2023-07-01","0.11","9.28","0.01185344827586206897"
"ARRI11","2023-08-01","0.10","8.88","0.01126126126126126126"
