"ticker","display_name","sector","sub_sector","classification","management_type","target_market","traded_until_date","payment_date","dividend_amt","ref_month","month_dividends_amt","month_price_ref","dy_monthly","dy_12m_pct","dy_current_monthly_pct","dividends_12m_amt","last_dividend_amt","last_payment_date"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-10-16 00:00:00","2023-10-23 00:00:00","1.05","2023-10-01","1.05","95.63","0.01097981804872947820","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-09-15 00:00:00","2023-09-22 00:00:00","1.05","2023-09-01","1.05","96.18","0.01091703056768558952","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-08-14 00:00:00","2023-08-21 00:00:00","1.05","2023-08-01","1.05","97.30","0.01079136690647482014","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-07-14 00:00:00","2023-07-21 00:00:00","1.10","2023-07-01","1.10","96.15","0.01144045761830473219","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-06-15 00:00:00","2023-06-22 00:00:00","1.10","2023-06-01","1.10","97.00","0.01134020618556701031","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-05-15 00:00:00","2023-05-22 00:00:00","1.10","2023-05-01","1.10","94.92","0.01158870627897176570","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-04-17 00:00:00","2023-04-25 00:00:00","1.10","2023-04-01","1.10","92.45","0.01189832341806381828","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-03-14 00:00:00","2023-03-21 00:00:00","1.06","2023-03-01","1.06","92.67","0.01143843746627819143","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-02-14 00:00:00","2023-02-23 00:00:00","1.05","2023-02-01","1.05","93.87","0.01118568232662192394","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2023-01-13 00:00:00","2023-01-20 00:00:00","1.00","2023-01-01","1.00","94.44","0.01058873358746293943","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-12-14 00:00:00","2022-12-21 00:00:00","0.96","2022-12-01","0.96","95.00","0.01010526315789473684","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-11-16 00:00:00","2022-11-23 00:00:00","0.95","2022-11-01","0.95","94.34","0.01006995972016111936","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-10-17 00:00:00","2022-10-24 00:00:00","1.00","2022-10-01","1.00","95.37","0.01048547761350529517","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-09-15 00:00:00","2022-09-22 00:00:00","1.15","2022-09-01","1.15","97.00","0.01185567010309278351","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-08-12 00:00:00","2022-08-19 00:00:00","1.30","2022-08-01","1.30","99.15","0.01311144730206757438","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-07-14 00:00:00","2022-07-21 00:00:00","1.40","2022-07-01","1.40","98.50","0.01421319796954314721","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-06-14 00:00:00","2022-06-22 00:00:00","1.40","2022-06-01","1.40","99.80","0.01402805611222444890","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
"AFHI11","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","Títulos e Valores Mobiliários","Outros","Papel","Ativa","Investidores Em Geral","2022-05-13 00:00:00","2022-05-20 00:00:00","1.35","2022-05-01","1.35","103.70","0.01301832208293153327","12.65","1.07","11.98","1.01","2025-11-24 00:00:00"
