"ticker","revenue_due_0_3m_pct","revenue_due_3_6m_pct","revenue_due_6_9m_pct","revenue_due_9_12m_pct","revenue_due_12_15m_pct","revenue_due_15_18m_pct","revenue_due_18_21m_pct","revenue_due_21_24m_pct","revenue_due_24_27m_pct","revenue_due_27_30m_pct","revenue_due_30_33m_pct","revenue_due_33_36m_pct","revenue_due_over_36m_pct","revenue_due_undetermined_pct","revenue_igpm_pct","revenue_inpc_pct","revenue_ipca_pct","revenue_incc_pct","created_at","updated_at"
"RENV11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"RFOF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RINV11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RMAI11","0.0000","0.0126","0.0000","0.0574","0.0857","0.0000","0.0187","0.0294","0.0211","0.0636","0.1731","0.0783","0.4442","0.0121","0.0821","0","0.9138","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RNGO11","0.1917","0.0000","0.0741","0.0308","0.0416","0.0000","0.0654","0.0768","0.0548","0.0057","0.0000","0.0320","0.3944","0.0324","0.1021","0","0.8978","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"ROOF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RPRI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RRCI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RSPD11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RVBI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RZAK11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RZAT11","0.0000","0.0000","0.0000","0.0000","0.3778","0.0000","0.0000","0.0000","0.0000","0.1231","0.0000","0.0000","0.4990","0.0000","0.0000","0.0000","1.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RZLC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"RZTR11","0","0","0","0","0","0","0","0","0","0","0","0","1.0000","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RZZR11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.6994","0.0000","2025-07-02 00:00:00","2025-11-22 00:00:00"
"RZZV11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2025-07-02 00:00:00","2025-11-22 00:00:00"
"SADI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"SAIC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"SAPI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
