"ticker","dy_monthly_pct","dy_pct","sum_anual_dy_amt","last_dividend_amt","last_payment_date","market_cap_value","enterprise_value","price_book_ratio","equity_per_share","revenue_per_share","dividend_payout_pct","growth_rate","cap_rate","leverage_ratio","equity_value","variation_month_ratio","variation_year_ratio","equity_month_ratio","dividend_reserve_amt","admin_fee_due_amt","perf_fee_due_amt","total_cash_amt","expected_revenue_amt","liabilities_total_amt","created_at","updated_at"
"CCME11","0.93","11.55","0.99","0.08","2025-11-17 00:00:00","583732626.00","544151305.09","0.8270","10.408","0.022","0.00","-0.692","0.000","0.0069","705622525.00","0.0146","0.1429","0.0075","8926.00","710207.24","4102750.72","49226057.37","1521796.88","4898942.46","2024-06-10 00:00:00","2025-11-22 00:00:00"
"CBOP11","0.30","3.43","1.15","0.10","2025-11-14 00:00:00","47388350.00","45707054.10","0.4950","67.606","0.292","0.00","-5.999","0.000","0.0078","95663053.00","0.0007","0.0183","-0.0006","2164.00","70233.25","0.00","1971036.13","412852.64","742540.23","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CARE11","0.00","0.00","0.00","0.00","2021-09-15 00:00:00","36127618.00","32497782.39","0.1450","6.976","0.005","0.00","-0.419","0.000","0.0023","249539652.00","-0.0086","-0.0141","-0.0086","11744.00","34214.01","0.00","3838049.74","195780.48","565913.13","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CACR11","1.76","21.61","16.18","1.32","2025-11-10 00:00:00","362143941.00","375143242.88","0.7990","93.668","0.029","0.00","-22.877","0.000","0.0639","453009441.00","-0.0010","-0.0676","-0.0182","1.00","338271.18","0.00","12423621.60","138700.85","28953439.48","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BVAR11","0.98","5.74","67.12","11.50","2025-11-24 00:00:00","732013163.00","728092852.99","1.4930","783.779","100.000","0.00","-11.103","0.000","0.0056","490284905.00","0.0015","0.0221","-0.0040","131.00","88790.47","0.00","6641426.54","101254630.52","2721116.53","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BTYU11","0.85","15.73","1.48","0.08","2025-11-21 00:00:00","281700000.00","294544185.67","0.9340","10.058","0.003","0.00","46.420","0.000","0.0944","301727548.00","0.0138","0.1238","0.0021","520.00","326871.50","1598735.79","15931959.54","80788.38","28476145.21","2024-05-29 00:00:00","2025-11-22 00:00:00"
"BTWR11","0.66","6.98","7.36","0.70","2025-11-14 00:00:00","85369787.00","85582495.56","0.8880","118.818","1.299","0.00","4.368","0.000","0.0069","96156024.00","0.0056","0.0908","0.0002","140.00","13000.00","0.00","446342.23","1051371.80","659050.79","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BTSI11","0.74","8.57","9.39","0.81","2025-11-28 00:00:00","662123492.00","662037534.53","0.9700","112.980","0.827","0.00","49.681","0.000","0.0005","682608193.00","0.0045","0.0894","-0.0022","211.00","262697.48","0.00","439817.95","4994154.10","353860.48","2025-07-02 00:00:00","2025-11-22 00:00:00"
"BTSG11","0.68","7.90","11.60","1.00","2025-11-14 00:00:00","113865204.00","113747969.04","0.9660","152.092","1.089","0.00","4.700","0.000","0.0073","117873618.00","0.0065","0.0707","0.0000","106.00","50077.74","0.00","979845.70","843880.19","862610.74","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BTRA11","0.69","8.02","4.65","0.40","2025-11-28 00:00:00","195009840.00","121881648.42","0.5240","110.568","29.218","0.00","1.046","0.000","0.0477","372011189.00","0.0202","0.0446","0.0115","12171.00","378211.38","0.00","92702856.98","98305482.57","17757803.40","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BTML11","0.93","10.11","11.25","1.04","2025-11-14 00:00:00","126320605.00","122262055.24","0.8730","127.429","0.000","0.00","10.263","0.000","0.0084","144652622.00","0.0194","0.2774","0.0082","1.00","12727.93","0.00","5270094.51","0.00","1211544.75","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BTLG11","0.76","9.10","9.47","0.79","2025-11-25 00:00:00","4628659464.00","5106169868.21","1.0020","103.866","2.109","0.00","1.839","0.000","0.1750","4620460237.00","-0.0003","0.0852","-0.0051","406668.00","3398731.37","0.00","317824452.71","93827331.13","808680342.92","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BTHI11","1.06","11.19","4.75","0.45","2025-11-14 00:00:00","391325834.00","382625724.95","0.6190","68.554","0.072","0.00","8.335","0.000","0.0005","631969443.00","0.0032","0.0594","-0.0033","1499.00","265244.51","0.00","9019149.18","663259.66","319040.13","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BTHF11","1.07","13.35","1.12","0.09","2025-11-14 00:00:00","1724997357.00","1565714761.85","0.8350","10.032","0.025","0.00","200.000","0.000","0.0253","2065042961.00","0.0143","0.1176","0.0062","317217.00","1555302.29","0.00","217786593.40","5050561.24","52328590.25","2024-12-20 00:00:00","2025-11-22 00:00:00"
"BTCI11","1.08","12.43","1.15","0.10","2025-11-14 00:00:00","921566053.00","890227590.12","0.9250","10.012","0.024","0.00","-0.210","0.000","0.0019","996411203.00","0.0101","0.0102","0.0009","192093.00","807716.09","0.00","35201281.03","2431222.41","1872395.15","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BTAL11","1.22","13.50","10.54","0.95","2025-11-27 00:00:00","467191854.00","384228367.08","0.6900","113.147","0.658","0.00","3.789","0.000","0.0800","676928041.00","0.0059","0.4611","-0.0013","38664.00","434381.54","0.00","140945135.79","3938380.74","54152697.87","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BSLT11",NULL,NULL,"0.00","0.00",NULL,"120946500.00","120520329.57","0.0000","0.000","0.001","0.00","0.000","0.000","0.0000","0.00","0.0071","0.0358","0.0071","2691.00","12215.45","0.00","5927.65","0.00","376257.22","2025-07-02 00:00:00","2025-11-22 00:00:00"
"BROF11","1.00","12.16","6.43","0.53","2025-11-26 00:00:00","614211955.00","792379312.33","0.4890","108.088","1.810","0.00","0.439","0.000","0.1821","1254988873.00","0.0066","0.0697","0.0018","10263.00","77253.46","0.00","50911773.68","21013175.10","228498591.01","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BRIP11","4.64","30.45","182.67","27.85","2025-11-28 00:00:00","123878206.00","122791010.24","0.9710","617.963","100.000","0.00","-39.631","0.000","0.0140","127593302.00","-0.0030","-0.1649","-0.0030","439.00","222580.01","0","2869227.55","126110603.54","1782031.79","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BRIM11","12.66","0.00","0.00","40.28","2025-11-27 00:00:00","24806967.00","23236826.07","0.8480","375.353","95.123","0.00","-69.017","0.000","0.1122","29268130.00","0.0022","-0.7033","-0.0090","706.00","69317.73","0","4608964.63","7417199.28","3283665.70","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BRCR11","0.97","12.53","5.29","0.41","2025-11-14 00:00:00","1124931270.00","1244624398.10","0.4960","85.210","2.422","0.00","-4.689","0.000","0.0649","2269838767.00","0.0021","0.0711","-0.0017","120672.00","353784.16","0.00","27866486.69","64515062.44","147293232.79","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BRCO11","0.75","9.11","10.62","0.87","2025-11-14 00:00:00","1854220405.00","1840226810.46","0.9900","117.729","7.151","0.00","-1.131","0.000","0.0227","1872487604.00","0.0060","0.0602","-0.0013","120011.00","0.00","0.00","45764360.57","113738926.92","42427205.03","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BPML11","1.16","14.08","11.16","0.92","2025-11-25 00:00:00","589683874.00","592290276.59","0.6400","123.883","2.269","0.00","-4.177","0.000","0.1944","921906177.00","0.0065","0.0531","-0.0010","5931.00","57528.44","0.00","175171655.54","16885677.08","179191990.13","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BPFF11","1.23","13.08","7.13","0.67","2025-10-07 00:00:00","244921614.00","234872829.72","0.7790","70.021","0.003","0.00","-15.038","0.000","0.0119","314555485.00","-0.1028","0.0246","-0.1028","20101.00","111225.06","0.00","13794528.27","12985.44","3745743.99","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BNFS11","1.13","16.07","12.08","0.85","2025-11-14 00:00:00","52605000.00","47741296.30","0.9590","78.335","1.267","0.00","-7.314","0.000","0.0252","54834152.00","0.0122","0.1233","-0.0005","5841.00","27190.78","0.00","4301150.13","886778.83","1383446.43","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BMLT11",NULL,NULL,"0.00","0.00",NULL,"30247000.00","30323173.16","0.0000","0.000","1.858","0.00","0.000","0.000","0.0000","0.00","0.0076","0.0213","0.0076","1497.00","10000.00","0.00","6040.38","538851.23","82213.54","2025-07-02 00:00:00","2025-11-22 00:00:00"
"BMLC11","0.80","9.42","8.47","0.72","2025-11-14 00:00:00","89786562.00","88569806.86","0.8500","105.795","1.089","0.00","6.642","0.000","0.0364","105626456.00","0.0072","0.0473","0.0003","1268.00","62322.58","0.00","5285680.98","1086896.58","3849276.84","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BLUR11","1.33","5.87","4.46","1.01","2025-07-14 00:00:00","6842700.00","0.00","0.9990","76.130","4.873","0.00","-10.360","0.000","0.0042","6851720.00","-0.0074","-0.0341","-0.0074","1.00","23476.55","0.00","6880280.12","0.00","28559.70","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BLUE11",NULL,NULL,"0.00","0.00",NULL,"187672425.00","208626505.65","0.0000","0.000","16.227","0.00","-29.210","0.000","0.0000","0.00","-0.0012","-0.8397","-0.0012","120.00","16254616.26","0.00","108.55","0.00","20954189.20","2025-07-02 00:00:00","2025-11-22 00:00:00"
"BLOG11","0.21","5.16","0.49","0.02","2025-08-20 00:00:00","223839447.00","503288857.94","0.6450","14.724","0.405","0.00","138.546","0.000","0.8066","346922775.00","0.0100","0.0333","0.0064","115.00","54856.60","0.00","376864.21","9546001.66","279826275.15","2025-07-02 00:00:00","2025-11-22 00:00:00"
"BLMO11","0.60","6.90","6.14","0.53","2025-11-14 00:00:00","88528498.00","86910284.93","0.8490","104.757","3.059","0.00","0.672","0.000","0.0062","104213475.00","0.0046","0.0403","-0.0003","304.00","90868.73","0","2266174.46","3042763.32","647961.39","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BLMG11","1.10","10.85","3.54","0.36","2025-11-14 00:00:00","152483756.00","152203571.25","0.4600","70.938","0.198","0.00","11.634","0.000","0.0055","331602528.00","0.0104","0.0455","0.0053","12874.00","130702.87","0.00","2946571.30","925343.01","1824968.55","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BLCA11","0.56","7.13","6.35","0.50","2025-11-17 00:00:00","142576000.00","407591317.93","0.6980","127.637","6.821","0.00","6.884","0.000","1.3245","204218442.00","0.0029","-0.0089","-0.0013","471.00","204218.45","0.00","6199471.41","10912941.80","270478789.34","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BIPE11",NULL,NULL,"0.00","0.00",NULL,"55563000.00","48173382.23","1.0240","976.747","100.000","0.00","0.000","0.000","0.0020","54271001.00","-0.0007","0.0110","-0.0007","103.00","103072.76","0","7497928.29","46840008.73","108310.52","2025-07-02 00:00:00","2025-11-22 00:00:00"
"BIPD11","2.75","4.89","48.36","27.17","2025-08-14 00:00:00","104252627.00","100264861.61","0.9490","1042.653","100.000","0.00","38.011","0.000","0.0059","109871596.00","-0.0026","0.0516","-0.0028","112.00","191640.57","0","4638960.92","62891594.63","651195.53","2025-07-02 00:00:00","2025-11-22 00:00:00"
"BIME11","1.15","16.83","1.03","0.07","2025-11-14 00:00:00","35716628.00","35209238.81","0.7210","8.470","0.011","0.00","-1.068","0.000","0.0122","49514016.00","0.0106","0.1213","0.0024","8319.00","65316.87","122692.74","819322.65","65124.85","604213.46","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BICE11","0.62","7.19","63.83","5.50","2025-11-07 00:00:00","118504986.00","118381140.18","0.8230","1079.150","0.074","0.00","19.068","0.000","0.0071","143973753.00","0.0176","0.0988","0.0114","116.00","107661.01","0","1146180.05","9937.80","1022334.23","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BGRB11","0.13","4.50","5.13","0.15","2025-11-07 00:00:00","220296374.00","451245981.46","0.0000","0.000","8.124","0.00","200.000","0.000","0.0000","0.00","0.0063","0.3450","0.0050","367.00","26490.48","0.00","2862983.94","15702903.75","233812591.40","2025-07-02 00:00:00","2025-11-22 00:00:00"
"BCRI11","1.44","15.62","9.98","0.92","2025-11-14 00:00:00","399815506.00","391407844.69","0.7670","83.331","0.032","0.00","-2.887","0.000","0.0154","521476882.00","0.0120","0.0965","0.0010","42457.00","360510.49","0","15478130.46","202571.01","8009150.15","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BCIA11","1.01","11.97","10.19","0.86","2025-11-28 00:00:00","316638895.00","317836160.87","0.8680","98.128","0.002","0.00","0.506","0.000","0.0101","364940398.00","-0.0021","0.1417","-0.0107","20764.00","169119.20","0.00","829639.55","7156.73","3700472.42","2024-05-22 00:00:00","2025-11-22 00:00:00"
"BBRC11","1.09","13.09","12.66","1.05","2025-11-14 00:00:00","153753000.00","139190067.04","0.9190","105.264","0.096","0.00","-6.221","0.000","0.0147","167369988.00","0.0072","0.0804","-0.0027","8752.00","91803.98","0.00","19557255.54","152690.78","2466222.58","2024-05-22 00:00:00","2025-11-22 00:00:00"
